,activity,before_break,date,day,h1,h2,h3,h4,h5,player,practice,type
2356,pre,True,2017-09-14 15:35:00,Thursday,1.0,0.0,0.0,0.0,0.0,def tackle,Toledo #3,thurs
2355,pre,True,2017-09-14 15:35:00,Thursday,1.0,1.0,0.0,0.0,0.0,off guard,Toledo #3,thurs
2352,pre,True,2017-09-14 15:40:00,Thursday,2.0,2.0,0.0,0.0,0.0,off guard,Toledo #3,thurs
2354,pre,True,2017-09-14 15:40:00,Thursday,1.0,0.0,0.0,0.0,0.0,off tackle,Toledo #3,thurs
2353,pre,True,2017-09-14 15:40:00,Thursday,0.0,0.0,0.0,1.0,0.0,off guard,Toledo #3,thurs
2286,pre,True,2017-09-16 17:20:00,Saturday,1.0,0.0,0.0,0.0,0.0,wide receiver,Toledo Game,game
2282,pre,True,2017-09-16 17:30:00,Saturday,2.0,0.0,0.0,0.0,0.0,off guard,Toledo Game,game
2281,pre,True,2017-09-16 17:30:00,Saturday,3.0,0.0,0.0,0.0,0.0,wide receiver,Toledo Game,game
2284,pre,True,2017-09-16 17:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,running back,Toledo Game,game
2283,pre,True,2017-09-16 17:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,def tackle,Toledo Game,game
2285,pre,True,2017-09-16 17:30:00,Saturday,1.0,1.0,0.0,0.0,0.0,off guard,Toledo Game,game
2280,pre,True,2017-09-16 17:35:00,Saturday,1.0,1.0,2.0,1.0,0.0,linebacker,Toledo Game,game
2279,pre,True,2017-09-16 17:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,def end,Toledo Game,game
2278,pre,True,2017-09-16 17:35:00,Saturday,1.0,1.0,0.0,0.0,0.0,linebacker,Toledo Game,game
2100,pre,True,2017-09-20 15:40:00,Wednesday,2.0,1.0,0.0,0.0,0.0,tight end,New Mexico #2,wed
2058,pre,True,2017-09-23 11:45:00,Saturday,2.0,0.0,0.0,0.0,0.0,wide receiver,New Mexico Game,game
2057,pre,True,2017-09-23 11:55:00,Saturday,1.0,0.0,1.0,0.0,0.0,def tackle,New Mexico Game,game
2056,pre,True,2017-09-23 12:00:00,Saturday,1.0,0.0,0.0,0.0,0.0,def tackle,New Mexico Game,game
2055,pre,True,2017-09-23 12:00:00,Saturday,0.0,1.0,0.0,0.0,0.0,wide receiver,New Mexico Game,game
2054,pre,True,2017-09-23 12:00:00,Saturday,1.0,0.0,0.0,0.0,0.0,cornerback,New Mexico Game,game
2053,pre,True,2017-09-23 12:05:00,Saturday,1.0,1.0,0.0,0.0,0.0,linebacker,New Mexico Game,game
2052,pre,True,2017-09-23 12:05:00,Saturday,2.0,0.0,1.0,0.0,0.0,wide receiver,New Mexico Game,game
2051,pre,True,2017-09-23 12:05:00,Saturday,0.0,2.0,0.0,0.0,0.0,linebacker,New Mexico Game,game
