,activity,before_break,date,event,h2,h3,h4,h5,player,type
1599,pre,True,2017-10-07 09:35:00,Tulane Game,0,0,0,0,def end,game
1495,pre,True,2017-10-10 15:40:00,Houston #1,0,0,0,0,tight end,tues
1458,pre,True,2017-10-11 15:40:00,Houston #2,0,0,0,0,tight end,wed
1422,post,False,2017-10-11 17:40:00,Houston #2,1,0,0,0,tight end,wed
1412,pre,True,2017-10-14 14:10:00,Houston Game,0,0,0,0,wide receiver,game
1411,pre,True,2017-10-14 14:15:00,Houston Game,1,0,0,0,wide receiver,game
1410,pre,True,2017-10-14 14:30:00,Houston Game,0,1,0,0,def end,game
1409,pre,True,2017-10-14 14:30:00,Houston Game,0,0,0,0,def end,game
1408,pre,True,2017-10-14 14:30:00,Houston Game,1,0,0,0,linebacker,game
1268,pre,True,2017-10-17 15:35:00,Conneticut #1,0,0,0,0,tight end,tues
1229,pre,True,2017-10-18 15:35:00,Conneticut #2,0,0,0,0,off tackle,wed
1198,pre,True,2017-10-19 15:30:00,Conneticut #3,0,0,0,0,cornerback,thurs
1197,pre,True,2017-10-19 15:35:00,Conneticut #3,0,0,0,0,tight end,thurs
1196,pre,True,2017-10-19 15:35:00,Conneticut #3,0,0,0,0,cornerback,thurs
1195,pre,True,2017-10-19 15:35:00,Conneticut #3,0,0,0,0,linebacker,thurs
1194,pre,True,2017-10-19 15:40:00,Conneticut #3,1,0,0,0,cornerback,thurs
1170,pre,True,2017-10-21 10:10:00,Conneticut Game,1,0,0,0,tight end,game
1169,pre,True,2017-10-21 10:10:00,Conneticut Game,0,0,0,0,wide receiver,game
1168,pre,True,2017-10-21 10:15:00,Conneticut Game,0,0,0,0,running back,game
1166,pre,True,2017-10-21 10:30:00,Conneticut Game,0,0,0,0,cornerback,game
1165,pre,True,2017-10-21 10:30:00,Conneticut Game,1,0,0,0,linebacker,game
1164,pre,True,2017-10-21 10:30:00,Conneticut Game,1,0,0,0,cornerback,game
1163,pre,True,2017-10-21 10:30:00,Conneticut Game,1,0,0,0,linebacker,game
1162,pre,True,2017-10-21 10:30:00,Conneticut Game,0,0,0,0,tight end,game
1167,pre,True,2017-10-21 10:30:00,Conneticut Game,0,0,0,0,def tackle,game
1159,pre,True,2017-10-21 10:35:00,Conneticut Game,0,0,0,0,running back,game
1158,pre,True,2017-10-21 10:35:00,Conneticut Game,0,0,0,0,tight end,game
1161,pre,True,2017-10-21 10:35:00,Conneticut Game,0,1,0,0,off guard,game
1160,pre,True,2017-10-21 10:35:00,Conneticut Game,1,0,0,0,linebacker,game
1034,pre,True,2017-10-24 15:25:00,S Methodist #1,0,0,0,0,linebacker,tues
1033,pre,True,2017-10-24 15:35:00,S Methodist #1,1,0,0,0,off tackle,tues
1032,pre,True,2017-10-24 15:35:00,S Methodist #1,0,0,0,0,tight end,tues
1031,pre,True,2017-10-24 15:35:00,S Methodist #1,0,0,1,0,wide receiver,tues
1030,pre,True,2017-10-24 15:40:00,S Methodist #1,0,0,0,0,off tackle,tues
1029,pre,True,2017-10-24 15:40:00,S Methodist #1,0,1,1,0,tight end,tues
1028,pre,True,2017-10-24 15:40:00,S Methodist #1,0,0,0,0,off guard,tues
1027,pre,True,2017-10-24 15:40:00,S Methodist #1,0,0,0,0,running back,tues
1026,pre,True,2017-10-24 15:40:00,S Methodist #1,0,0,0,0,linebacker,tues
1025,pre,True,2017-10-24 15:40:00,S Methodist #1,0,0,0,0,tight end,tues
944,pre,True,2017-10-25 15:40:00,S Methodist #2,1,0,0,0,off guard,wed/thurs
945,pre,True,2017-10-25 15:40:00,S Methodist #2,0,0,0,0,cornerback,wed/thurs
946,pre,True,2017-10-25 15:40:00,S Methodist #2,0,0,0,0,off tackle,wed/thurs
947,pre,True,2017-10-25 15:40:00,S Methodist #2,0,0,0,1,wide receiver,wed/thurs
948,pre,True,2017-10-25 15:40:00,S Methodist #2,0,0,0,0,tight end,wed/thurs
890,pre,True,2017-10-27 19:05:00,S Methodist Game,0,0,0,0,running back,game
889,pre,True,2017-10-27 19:10:00,S Methodist Game,0,0,0,0,wide receiver,game
888,pre,True,2017-10-27 19:15:00,S Methodist Game,0,0,0,0,running back,game
887,pre,True,2017-10-27 19:30:00,S Methodist Game,0,0,0,0,def end,game
886,pre,True,2017-10-27 19:30:00,S Methodist Game,0,0,0,0,cornerback,game
885,pre,True,2017-10-27 19:30:00,S Methodist Game,0,0,0,1,wide receiver,game
881,pre,True,2017-10-27 19:35:00,S Methodist Game,2,0,0,0,linebacker,game
880,pre,True,2017-10-27 19:35:00,S Methodist Game,0,1,0,0,cornerback,game
883,pre,True,2017-10-27 19:35:00,S Methodist Game,0,0,0,0,cornerback,game
884,pre,True,2017-10-27 19:35:00,S Methodist Game,1,0,1,0,linebacker,game
882,pre,True,2017-10-27 19:35:00,S Methodist Game,0,0,0,0,def end,game
879,pre,True,2017-10-27 19:40:00,S Methodist Game,0,0,0,0,cornerback,game
760,pre,True,2017-10-31 15:40:00,Memphis #1,1,0,0,0,cornerback,tues
759,pre,True,2017-10-31 15:40:00,Memphis #1,0,0,0,0,off guard,tues
758,pre,True,2017-10-31 15:40:00,Memphis #1,0,0,0,0,off tackle,tues
711,pre,True,2017-11-01 15:35:00,Memphis #2,0,0,0,0,off guard,wed/thurs
710,pre,True,2017-11-01 15:40:00,Memphis #2,1,0,0,0,tight end,wed/thurs
709,pre,True,2017-11-01 15:40:00,Memphis #2,0,0,0,0,cornerback,wed/thurs
680,pre,True,2017-11-03 18:15:00,Memphis Game,1,0,0,0,wide receiver,game
679,pre,True,2017-11-03 18:20:00,Memphis Game,0,0,0,0,wide receiver,game
678,pre,True,2017-11-03 18:30:00,Memphis Game,1,0,0,1,def end,game
677,pre,True,2017-11-03 18:30:00,Memphis Game,1,0,0,0,linebacker,game
676,pre,True,2017-11-03 18:35:00,Memphis Game,1,0,0,0,def end,game
536,pre,True,2017-11-08 15:35:00,S Florida #1,0,0,0,0,cornerback,tues
