,activity,before_break,date,event,h1,h2,h3,h4,h5,player,type
4246,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,off guard,camp
4236,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.008333333333333333,0.0,0.0,0.0,def tackle,camp
4237,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,def tackle,camp
4238,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.016666666666666666,0.0,0.0,tight end,camp
4240,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.008333333333333333,0.0,0.0,0.0,0.0,off tackle,camp
4241,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.008333333333333333,0.0,0.0,0.0,0.0,off guard,camp
4242,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.008333333333333333,0.0,0.0,def end,camp
4239,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.008333333333333333,0.0,0.0,0.0,0.0,def end,camp
4235,vice pursuit,True,2017-08-03 10:00:00,fall camp practice #4,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,linebacker,camp
4234,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.025,0.0,0.0,0.0,0.0,def end,camp
4233,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.025,0.0,0.025,0.0,0.0,def end,camp
4232,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,off tackle,camp
4231,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,tight end,camp
4230,inside,True,2017-08-03 10:10:00,fall camp practice #4,0.0,0.016666666666666666,0.0,0.0,0.0,def end,camp
4229,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,running back,camp
4216,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,def tackle,camp
4217,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.01,0.01,0.0,0.0,off guard,camp
4218,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,off tackle,camp
4219,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,tight end,camp
4220,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.01,0.01,0.01,0.0,0.0,tight end,camp
4221,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.016666666666666666,0.0,0.0,0.0,def end,camp
