,activity,before_break,date,event,h2,h3,h4,h5,player,type
4258,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.0,0.0,tight end,camp
4257,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.1,0.0,safety,camp
4260,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.1,0.1,0.0,0.0,off guard,camp
4256,post-practice/turn over,False,2017-08-03 11:35:00,fall camp practice #4,0.1,0.1,0.0,0.0,linebacker,camp
4255,post-practice,False,2017-08-03 11:35:00,fall camp practice #4,0.0,0.25,0.0,0.0,off guard,camp
4254,pre,True,2017-08-04 09:35:00,fall camp practice #5,0.1,0.0,0.0,0.0,tight end,camp
4253,pre,True,2017-08-04 09:35:00,fall camp practice #5,0.0,0.0,0.0,0.0,off tackle,camp
4251,pat/fg,True,2017-08-04 09:40:00,fall camp practice #5,0.2,0.0,0.0,0.0,tight end,camp
4252,pat/fg,True,2017-08-04 09:40:00,fall camp practice #5,0.2222222222222222,0.0,0.0,0.0,def end,camp
4248,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.1,0.0,0.0,0.0,tight end,camp
4250,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.0,0.0,0.0,0.0,linebacker,camp
4249,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
4247,indy,True,2017-08-04 09:55:00,fall camp practice #5,0.0,0.1111111111111111,0.0,0.0,safety,camp
4246,indy,True,2017-08-04 10:05:00,fall camp practice #5,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
4245,inside,True,2017-08-04 10:10:00,fall camp practice #5,0.0,0.0,0.0,0.0,linebacker,camp
4244,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.0,0.1,0.0,0.0,running back,camp
4243,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.0,0.2,0.0,0.0,off guard,camp
4242,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.2,0.2,0.0,0.0,def tackle,camp
4241,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.2,0.0,0.0,0.0,linebacker,camp
4240,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.2,0.4,0.2,0.0,def end,camp
4239,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.1,0.0,0.0,0.0,off guard,camp
4238,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.2,0.0,0.0,0.0,running back,camp
4237,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.1,0.1,0.0,0.0,tight end,camp
4236,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.0,0.0,0.0,0.0,off tackle,camp
4235,skell vs. def,True,2017-08-04 10:20:00,fall camp practice #5,0.0,0.0,0.1,0.0,tight end,camp
4234,line games,True,2017-08-04 10:20:00,fall camp practice #5,0.0,0.0,0.0,0.0,def end,camp
4231,team situation,True,2017-08-04 10:30:00,fall camp practice #5,0.0,0.0,0.0,0.0,def tackle,camp
4233,team situation,True,2017-08-04 10:30:00,fall camp practice #5,0.1,0.0,0.0,0.0,tight end,camp
4232,team situation,True,2017-08-04 10:30:00,fall camp practice #5,0.0,0.0,0.0,0.0,cornerback,camp
4230,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.1111111111111111,0.0,0.0,0.0,def end,camp
4229,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.0,0.1111111111111111,0.0,0.0,safety,camp
4228,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.0,0.1,0.0,0.0,running back,camp
4227,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
4226,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.0,0.0,0.0,0.0,def tackle,camp
4225,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.0,0.0,0.0,0.0,tight end,camp
4224,team situation,True,2017-08-04 10:35:00,fall camp practice #5,0.1,0.0,0.0,0.0,running back,camp
4223,team situation,False,2017-08-04 10:40:00,fall camp practice #5,0.0,0.1111111111111111,0.0,0.0,linebacker,camp
4222,team situation,False,2017-08-04 10:40:00,fall camp practice #5,0.1,0.0,0.0,0.0,off guard,camp
4221,skell vs. offense,False,2017-08-04 10:50:00,fall camp practice #5,0.16666666666666666,0.0,0.0,0.0,cornerback,camp
4220,skell vs. def,False,2017-08-04 10:50:00,fall camp practice #5,0.0,0.0,0.0,0.0,wide receiver,camp
4219,pass rush,False,2017-08-04 10:50:00,fall camp practice #5,0.0,0.0,0.0,0.0,def tackle,camp
4218,skell vs. def,False,2017-08-04 10:50:00,fall camp practice #5,0.1,0.0,0.0,0.0,tight end,camp
4217,skell vs. offense,False,2017-08-04 10:55:00,fall camp practice #5,0.0,0.0,0.0,0.0,linebacker,camp
4216,skell vs. def,False,2017-08-04 10:55:00,fall camp practice #5,0.0,0.1,0.0,0.0,tight end,camp
4215,pass rush,False,2017-08-04 10:55:00,fall camp practice #5,0.3333333333333333,0.0,0.0,0.0,def tackle,camp
4214,team w/ 3s,False,2017-08-04 11:00:00,fall camp practice #5,0.1,0.1,0.1,0.0,tight end,camp
4212,team vs. offense,False,2017-08-04 11:05:00,fall camp practice #5,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
