,event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
83,Toledo Game,pre,2017-09-16,game,45.0,37.0,17.0,6.0,18,9,9,15.25,14.75,270.0,99.0,54.0,0.16666666666666666,0.13703703703703704,0.06296296296296296,0.022222222222222223,0.36666666666666664,0.2
34,New Mexico #1,post,2017-09-19,tues,7.0,4.0,3.0,0.0,17,8,9,57.0,57.0,969.0,14.0,7.0,0.007223942208462332,0.0041279669762641896,0.0030959752321981426,0.0,0.014447884416924664,0.007223942208462332
35,New Mexico #1,pre,2017-09-19,tues,5.0,2.0,0.0,0.0,17,8,9,70.0,60.0,1100.0,7.0,2.0,0.004545454545454545,0.0018181818181818182,0.0,0.0,0.006363636363636364,0.0018181818181818182
36,New Mexico #2,post,2017-09-20,wed,19.0,4.0,1.0,0.0,18,9,9,57.0,57.0,1026.0,24.0,5.0,0.018518518518518517,0.003898635477582846,0.0009746588693957114,0.0,0.023391812865497075,0.004873294346978557
37,New Mexico #2,pre,2017-09-20,wed,4.0,1.0,2.0,0.0,18,9,9,70.0,60.0,1170.0,7.0,3.0,0.003418803418803419,0.0008547008547008547,0.0017094017094017094,0.0,0.005982905982905983,0.002564102564102564
38,New Mexico #3,pre,2017-09-21,thurs,1.0,2.0,0.0,0.0,18,9,9,122.0,112.0,2106.0,3.0,2.0,0.0004748338081671415,0.000949667616334283,0.0,0.0,0.0014245014245014246,0.000949667616334283
39,New Mexico Game,post,2017-09-23,game,34.0,15.0,8.0,5.0,18,9,9,21.43,8.57,270.0,57.0,23.0,0.1259259259259259,0.05555555555555555,0.02962962962962963,0.018518518518518517,0.2111111111111111,0.08518518518518518
40,New Mexico Game,pre,2017-09-23,game,46.0,21.0,7.0,3.0,18,9,9,21.25,8.75,270.0,74.0,28.0,0.17037037037037037,0.07777777777777778,0.025925925925925925,0.011111111111111112,0.2740740740740741,0.1037037037037037
27,Navy #1,post,2017-09-26,tues,6.0,7.0,1.0,0.0,15,7,8,50.0,57.0,806.0,14.0,8.0,0.007444168734491315,0.008684863523573201,0.0012406947890818859,0.0,0.017369727047146403,0.009925558312655087
28,Navy #1,pre,2017-09-26,tues,7.0,7.0,3.0,1.0,15,7,8,70.0,60.0,970.0,17.0,10.0,0.007216494845360825,0.007216494845360825,0.003092783505154639,0.0010309278350515464,0.01752577319587629,0.010309278350515464
29,Navy #2,post,2017-09-27,wed,18.0,7.0,1.0,0.0,16,7,9,57.0,57.0,912.0,26.0,8.0,0.019736842105263157,0.007675438596491228,0.0010964912280701754,0.0,0.02850877192982456,0.008771929824561403
