,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4377,team w/ 3s,post,2017-08-02 11:00:00,fall camp practice #3,2.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4370,team vs. def,post,2017-08-02 11:05:00,fall camp practice #3,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-02
4371,team vs. def,post,2017-08-02 11:05:00,fall camp practice #3,0.0,0.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-08-02
4372,team vs. offense,post,2017-08-02 11:05:00,fall camp practice #3,0.0,1.0,0.0,0.0,cb,cornerback,defensive,camp,2017-08-02
4374,team vs. offense,post,2017-08-02 11:05:00,fall camp practice #3,0.0,2.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4375,team vs. def,post,2017-08-02 11:05:00,fall camp practice #3,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4376,team vs. offense,post,2017-08-02 11:05:00,fall camp practice #3,1.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4373,team vs. def,post,2017-08-02 11:05:00,fall camp practice #3,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4364,team vs. offense,post,2017-08-02 11:10:00,fall camp practice #3,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4363,team vs. offense,post,2017-08-02 11:10:00,fall camp practice #3,1.0,0.0,0.0,0.0,cb,cornerback,defensive,camp,2017-08-02
4365,team vs. offense,post,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
4368,team vs. offense,post,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
4367,team vs. offense,post,2017-08-02 11:10:00,fall camp practice #3,0.0,1.0,0.0,0.0,safety,safety,defensive,camp,2017-08-02
4366,team vs. def,post,2017-08-02 11:10:00,fall camp practice #3,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4369,team vs. def,post,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-02
4362,team vs. offense,post,2017-08-02 11:15:00,fall camp practice #3,0.0,1.0,0.0,0.0,safety,safety,defensive,camp,2017-08-02
4361,team vs. def,post,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4360,team vs. def,post,2017-08-02 11:15:00,fall camp practice #3,0.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-02
4359,team vs. def,post,2017-08-02 11:15:00,fall camp practice #3,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4358,team vs. offense,post,2017-08-02 11:15:00,fall camp practice #3,0.0,0.0,2.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4357,team vs. def,post,2017-08-02 11:15:00,fall camp practice #3,2.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4351,team vs. def,post,2017-08-02 11:20:00,fall camp practice #3,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-02
