,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive
,all up,break,first half,indy,inside,kickoff,kor,otb,pap,pat/fg,post-practice,pre,punt,punt return,run session,run session-blitz,scrimmage,second half,skell vs. def scouts,team situation,team vs. def scouts,1on1,1on2,pass rush,team vs. scouts,all up,break,end,first half,goal line,indy,inside,line games,mix session,otb,pass rush,pat/fg,perimeter period,post-practice,pre,punt,punt return,run fit,run pursuit,run session,scrimmage,second half,specific def scheme,team situation,team vs. off scouts,1on1,kickoff,kor,red zone skell vs. scouts,skell vs. off scouts
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall camp practice #12,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #13,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #14,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,8.0,10.0,28.0,10.0,,,,24.0
fall camp practice #17,5.0,,,,,15.0,15.0,,,,,,15.0,15.0,,,,,,,,,,,,2.0,,,,,60.0,,,,,,,,,10.0,15.0,15.0,,,,,,,,,,15.0,15.0,,
fall camp practice #2,2.0,5.0,,10.0,,,,15.0,,5.0,10.0,10.0,,,,,,,22.0,,28.0,,,,,5.0,5.0,,,,37.0,,,,,10.0,5.0,,10.0,20.0,,,,,,,,10.0,,28.0,,,,,22.0
fall camp practice #3,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,24.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,10.0,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #4,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #5,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #6,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #7,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #8,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,12.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,10.0,,,,,10.0,28.0,10.0,,,,24.0
fall camp scrimmage #1,2.0,5.0,,8.0,,,,10.0,,5.0,,10.0,,,,,120.0,,,,,,,,,2.0,5.0,,,,18.0,,,,,,5.0,,,10.0,,,,,,120.0,,,,,,,,,
fall camp scrimmage #2,2.0,5.0,,6.0,,,,10.0,,5.0,,,,,,,95.0,,,,,,,,,2.0,5.0,,,,6.0,,,,10.0,,5.0,,,20.0,,,,,,95.0,,,,,,,,,
